2024-12-08 17:15:10 - Partition: Liber, Usage: Utilizat
2024-12-08 17:15:10 - Partition: /dev, Usage: 0%
2024-12-08 17:15:10 - Partition: /run, Usage: 1%
2024-12-08 17:15:10 - Partition: /, Usage: 75%
2024-12-08 17:15:10 - Partition: /boot/efi, Usage: 1%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/bare/5, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/core18/2785, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/core18/2812, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/core22/1122, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/gnome-3-38-2004/143, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/core20/2182, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/core22/1033, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/gnome-42-2204/141, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/gtk-common-themes/1535, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/julia/92, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/gnome-42-2204/172, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/julia/95, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/logisim-snapcraft/93, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/launcher-ot-minecraft/94, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/launcher-ot-minecraft/93, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/snapd/20671, Usage: 100%
2024-12-08 17:15:10 - Partition: /var/lib/snapd/snap/snapd/21184, Usage: 100%
