Process Memory Usage Report 2024-12-08 17:19:58
Top 5 Memory-Consuming Processes:
----------------------------------------
PID:  2774 | User: vornic     | Memory:  13.8% | CPU:  75.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2313 | User: vornic     | Memory:   5.5% | CPU:  13.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  6075 | User: vornic     | Memory:   4.2% | CPU:   1.4% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 32674 | User: vornic     | Memory:   4.0% | CPU:   3.1% | Command: /opt/visual-studio-code/code
PID: 30399 | User: vornic     | Memory:   3.6% | CPU:  11.4% | Command: /usr/lib/firefox-developer-edition/firefox
----------------------------------------
Full Process List:
----------------------------------------
PID:  2774 | User: vornic     | Memory:  13.8% | CPU:  75.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2313 | User: vornic     | Memory:   5.5% | CPU:  13.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  6075 | User: vornic     | Memory:   4.2% | CPU:   1.4% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 32674 | User: vornic     | Memory:   4.0% | CPU:   3.1% | Command: /opt/visual-studio-code/code
PID: 30399 | User: vornic     | Memory:   3.6% | CPU:  11.4% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2243 | User: vornic     | Memory:   3.5% | CPU:   0.7% | Command: /usr/lib/kf6/baloo_file_extractor
PID:  5151 | User: vornic     | Memory:   3.4% | CPU:   2.0% | Command: telegram-desktop
PID:  2460 | User: vornic     | Memory:   3.3% | CPU:   3.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2657 | User: vornic     | Memory:   3.3% | CPU:   3.7% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2497 | User: vornic     | Memory:   3.0% | CPU:   0.7% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2417 | User: vornic     | Memory:   3.0% | CPU:   0.4% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 29872 | User: vornic     | Memory:   2.9% | CPU:   1.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 31105 | User: vornic     | Memory:   2.5% | CPU:  11.5% | Command: /opt/visual-studio-code/code
PID:  2456 | User: vornic     | Memory:   2.5% | CPU:   1.3% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  1867 | User: vornic     | Memory:   2.1% | CPU:   0.5% | Command: /usr/bin/plasmashell
PID: 30442 | User: vornic     | Memory:   2.0% | CPU:   0.1% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  3867 | User: vornic     | Memory:   1.9% | CPU:   0.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 30716 | User: vornic     | Memory:   1.7% | CPU:   4.0% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID: 16924 | User: vornic     | Memory:   1.6% | CPU:   0.4% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 31013 | User: vornic     | Memory:   1.5% | CPU:   1.7% | Command: /opt/visual-studio-code/code
PID: 41152 | User: vornic     | Memory:   1.4% | CPU:   0.1% | Command: /usr/bin/spectacle
PID: 21491 | User: vornic     | Memory:   1.3% | CPU:   0.3% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 46482 | User: vornic     | Memory:   1.3% | CPU:   8.8% | Command: /app/extra/share/spotify/spotify
PID: 45711 | User: vornic     | Memory:   1.3% | CPU:   1.1% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 30055 | User: vornic     | Memory:   1.3% | CPU:   0.2% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 46387 | User: vornic     | Memory:   1.2% | CPU:   2.7% | Command: /app/extra/share/spotify/spotify
PID:  5228 | User: vornic     | Memory:   1.1% | CPU:   0.1% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2729 | User: vornic     | Memory:   1.0% | CPU:   0.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  1838 | User: vornic     | Memory:   1.0% | CPU:   0.3% | Command: /usr/bin/kwin_x11
PID: 31161 | User: vornic     | Memory:   0.9% | CPU:   1.6% | Command: /opt/visual-studio-code/code
PID:   794 | User: rabbitmq   | Memory:   0.9% | CPU:   0.1% | Command: /usr/lib/erlang/erts-15.1.2/bin/beam.smp
PID: 30643 | User: vornic     | Memory:   0.9% | CPU:   0.3% | Command: /opt/onlyoffice/desktopeditors/DesktopEditors
PID: 52423 | User: vornic     | Memory:   0.9% | CPU:   1.6% | Command: /opt/visual-studio-code/code
PID:  4833 | User: vornic     | Memory:   0.8% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2410 | User: vornic     | Memory:   0.8% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 31132 | User: vornic     | Memory:   0.8% | CPU:   0.2% | Command: /opt/visual-studio-code/code
PID: 32675 | User: vornic     | Memory:   0.7% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID:  2803 | User: vornic     | Memory:   0.7% | CPU:   0.0% | Command: /usr/bin/krunner
PID: 34712 | User: vornic     | Memory:   0.7% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID:  2952 | User: vornic     | Memory:   0.7% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 34911 | User: vornic     | Memory:   0.6% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID: 34774 | User: vornic     | Memory:   0.6% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID: 31061 | User: vornic     | Memory:   0.6% | CPU:   2.8% | Command: /opt/visual-studio-code/code
PID:   889 | User: root       | Memory:   0.6% | CPU:   1.4% | Command: /usr/lib/Xorg
